url,title,description,urlToImage
https://www.engadget.com/2019/04/28/windows-10-preview-your-phone-notifications/,Windows preview brings Android notifications to your PC - Engadget,A Windows Insider preview has brought Android notifications to Your Phone.,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D1600%252C1063%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1063%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2019-04%252Fe1713660-693f-11e9-9d3b-3706b168ec36%26client%3Da1acac3e1b3290917d92%26signature%3D8160eafe3d8dc59df067878cb24b135531205cc3&client=amp-blogside-v2&signature=79276ea07d05a25e443984bc218a043aff906106
https://www.npr.org/2019/04/28/717908787/trump-rallies-supporters-as-white-house-correspondents-gala-celebrates-a-free-pr,Trump Rallies Supporters As White House Correspondents' Gala Celebrates A Free Press - NPR,"The president skipped the annual White House Correspondents' Association dinner in favor of a rally, where he touted economic growth and mocked Democratic presidential contenders.",https://media.npr.org/assets/img/2019/04/28/rtx6tgyw_wide-0ee45bc4fd6f15c87a67320cd45334e49d87c723.jpg?s=1400
https://www.esquire.com/entertainment/movies/a27288308/avengers-endgame-theories-fans-got-right/,All the 'Avengers: Endgame' Fan Theories That Were Actually Right - Esquire.com,Fans spent a year trying to figure out what would happen after the Infinity War. They nailed it.,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/mrv1340-v027-trl-1176-r-1556311346.jpg?crop=1xw:0.9488448844884488xh;center,top&resize=1200:*"
https://www.cnn.com/2019/04/28/us/california-synagogue-shooting-victims/index.html,She was at the synagogue to mourn her mother. She was killed while protecting the rabbi - CNN,"When a gunman opened fire in a synagogue in California, killing one and injuring three others, Lori Kaye jumped between the shooter and the rabbi.",https://cdn.cnn.com/cnnnext/dam/assets/190427175920-05-san-diego-synagogue-shooting-0427-super-tease.jpg
https://www.cheatsheet.com/entertainment/will-prince-william-be-a-better-king-than-prince-charles.html/,Will Prince William Be a Better King Than Prince Charles? - The Cheat Sheet,Is Prince William better fit to be king than Prince Charles?,https://www.cheatsheet.com/wp-content/uploads/2016/05/cs-logo.png
https://9to5mac.com/2019/04/28/schiller-screen-time-privacy/,"Phil Schiller says Apple pulling third-party screen time apps due to privacy abuses, as Tony Fadell calls Screen Time ‘a rush job’ - 9to5Mac","Apple has systematically removed many time-tracking / parental control over the last year, leading to a bevy of upset developers whose businesses have been crippled, and even an antitrust lawsuit. …",https://9to5mac.com/wp-content/uploads/sites/6/2018/06/ios-12-how-to-use-screen-time-iphone-ipad-lead.jpg?quality=82&strip=all&w=1600
https://www.engadget.com/2019/04/28/nubia-red-magic-3-gaming-phone-cooling-fan-8k-video/,This gaming phone has a built-in cooling fan and can record 8K video - Engadget,"If you've ever wanted a gaming smartphone with a built-in fan, you finally have an option.",https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fresize%3D2000%252C2000%252Cshrink%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2019-04%252Fd9768410-6994-11e9-bcdd-1cbf5cb55e6a%26client%3Da1acac3e1b3290917d92%26signature%3D12918b990808960fbfa646ff9e9176b18ab3ee11&client=amp-blogside-v2&signature=09485bb1052dc61c7528a9b1d8473c88dc22a8d9
https://www.nbcnews.com/news/world/japan-s-revolutionary-emperor-akihito-abdicate-leaving-imposing-legacy-his-n997971,"Japan's 'revolutionary' Emperor Akihito to abdicate, leaving imposing legacy for his son - NBC News",Emperor Akihito will become the first Japanese monarch to abdicate in nearly 200 years on Tuesday.,https://media2.s-nbcnews.com/j/newscms/2019_17/2834346/190425-emperor-akihito-mc-10257_51d55ad2a9b16ea623622e2a801d1bab.nbcnews-fp-1200-630.JPG
https://www.nytimes.com/2019/04/28/world/europe/spain-election.html,Spain Election: Divided Nation Holds 3rd National Vote Since 2015 - The New York Times,"The issue of Catalan independence, and the rise of the far-right Vox party, are important elements in the vote on Sunday. The only certainty seems to be more party fragmentation.",https://static01.nyt.com/images/2019/04/28/world/28spain-explainer1/merlin_153878775_9b15f5ae-724b-4745-b65b-22bf156726ce-facebookJumbo.jpg
https://www.foxnews.com/us/witness-says-synagogue-shooting-victim-rescued-children-from-gunfire,"Synagogue victim hailed as hero for saving kids after gunshot to leg, witness says - Fox News",A 34-year-old man who was wounded when gunfire erupted inside a San Diego-area synagogue on Saturday was being praised as a hero for saving several children from a hail of bullets.,https://static.foxnews.com/foxnews.com/content/uploads/2019/04/AP19117816575109.jpg
